text,average_path_length,maximum_path_length,num_clauses,num_phrases,num_subordinating_conjunctions,prop_nouns,prop_verbs,prop_adjectives,prop_pronouns,num_tokens,total_freq,avg_token_length
Автомобили появятся в салонах официальных дилеров в этом месяце.,1.7777777777777777,7.0,0.0,3.0,0.0,0.4,0.1,0.1,0.0,10,62748.4,6.222222222222222
"Автор сам бывший шахтер и очень хорошо описывает, как шахтеры в наше время свет увидели и шахта перестала быть для них преисподней, а прежде именно преисподней была.",2.586206896551724,25.0,1.0,6.0,0.0,0.2333333333333333,0.1,0.1,0.0333333333333333,30,125001.2,5.148148148148148
Агент МИ6 работал паспортистом в посольстве Великобритании в Берлине.,1.1111111111111112,6.0,0.0,1.0,0.0,0.3,0.1,0.0,0.0,10,62748.4,6.777777777777778
"Администрация города обратилась в прокуратуру с просьбой принять меры в отношении ""Дальэнерго"".",1.5,11.0,0.0,4.0,0.0,0.4,0.1333333333333333,0.0,0.0,15,74447.2,7.0
"Академик Аганбегян считает: в первую очередь следует досконально исследовать уровень технологий, машин и оборудования в каждой отрасли.",2.1578947368421053,16.0,0.0,4.0,0.0,0.35,0.15,0.05,0.0,20,99152.8,7.0
Аккуратно вскрытый конверт и письмо лежали на краю стола.,0.7777777777777778,3.0,0.0,2.0,0.0,0.4,0.2,0.0,0.0,10,51998.8,5.444444444444445
"Алла Тарасова родилась и окончила университет в Москве, филолог, профессор, много лет преподавала в университетах США.",2.210526315789474,16.0,0.0,4.0,0.0,0.25,0.15,0.0,0.0,20,99474.7,6.4375
"Американские ""Трешер"" и ""Скорпион"", ушедшие на дно со всем экипажем, погубил не реактор, а неполадки с балластной цистерной и взрыв торпеды соответственно.",2.0689655172413794,13.0,1.0,3.0,0.0,0.3,0.0666666666666666,0.0666666666666666,0.0,30,118100.7,6.090909090909091
"Аналогичной должна быть позиция в отношении политических беженцев и иных мигрантов, преследуемых и дискриминируемых в местах первоначального проживания.",2.0,17.0,0.0,2.0,0.0,0.3,0.15,0.25,0.0,20,146680.30000000002,7.5
Английские войска вторгаются в Ирак и свергают правительство Али-Гайлани.,1.3636363636363635,8.0,0.0,3.0,0.0,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.0,10,67489.40000000001,7.222222222222222
Андрей Аркадьевич накрыл террариум крышкой и закрыл на защелку.,1.3333333333333333,6.0,0.0,4.0,0.0,0.3,0.2,0.0,0.0,10,51890.7,6.111111111111111
"Аргументы правозащитников о том, что и за год человека можно убить или, по крайней мере, выбить из него все человеческое, в этом случае, скорее всего, останутся без внимания.",3.735294117647059,33.0,2.0,7.0,1.0,0.2,0.0857142857142857,0.0571428571428571,0.0857142857142857,35,100138.7,5.25
"Балерина, она танцевала сольные партии пусть не на сцене Большого театра, но уж, конечно, не Малого, и до сих пор в состоянии выполнить десяток-другой фуэте.",3.34375,28.0,0.0,5.0,0.0,0.2121212121212121,0.0606060606060606,0.1515151515151515,0.0,31,125019.5,5.32
"Беда, собственно, не в самом Паустовском, а в специфических ожиданиях публики.",2.071428571428572,6.0,0.0,1.0,0.0,0.2,0.0,0.2,0.0,15,80779.59999999999,6.181818181818182
"Бедные девочки из моей университетской группы ходили со стипендии в ""Норд"" (популярное кондитерское кафе в Ленинграде) и больше всего ценили что угодно со взбитыми сливками.",2.3448275862068964,22.0,0.0,5.0,0.0,0.1666666666666666,0.0666666666666666,0.1666666666666666,0.0666666666666666,30,109432.1,5.96
"Беседа руководителя КНДР и южнокорейского дипломата прошла в ""теплой и дружественной обстановке"", отмечается в сообщении агентства.",2.3684210526315788,12.0,0.0,3.0,0.0,0.3,0.1,0.15,0.0,20,134355.7,7.25
"Бесконечные стычки и распри, дележ и взаимные наговоры.",2.0,7.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,10,71606.1,6.0
Бесконечные чаепития на рабочем месте и ленивая симуляция деятельности.,1.7777777777777777,7.0,0.0,0.0,0.0,0.4,0.0,0.3,0.0,10,51669.8,7.0
"Благодаря этой псевдоэпидемии около 8000 человек - и поляки, и евреи - смогли избежать трудовых и концентрационных лагерей.",2.1052631578947367,10.0,0.0,4.0,0.0,0.35,0.1,0.1,0.0,20,110389.0,5.888888888888889
"Благодаря этому обстоятельству, а также учитывая тот факт, что к физическому труду парень не годен, отец устроил его в управление сначала сторожем, а потом он вырос и до помощника писаря.",3.0294117647058822,16.0,2.0,10.0,1.0,0.2571428571428571,0.0857142857142857,0.0571428571428571,0.0285714285714285,35,113989.8,5.266666666666667
"Богатство торговых центров, находившихся на магистральных путях, в значительной степени строилось на так называемом штапельном праве, то есть праве останавливать проезжавшие суда, заставлять их разгружать товары и выставлять на продажу.",1.8529411764705883,21.0,2.0,8.0,1.0,0.2571428571428571,0.2571428571428571,0.1142857142857142,0.0285714285714285,35,120011.30000000002,6.9
"Более продуктивной (и общепринятой) точкой зрения является взгляд на эту книгу, как на источник записей купца о местах для покупки товаров, маршрутах их продвижения и обстоятельствах жизни в этих странах.",1.9705882352941173,25.0,0.0,3.0,1.0,0.4285714285714285,0.0285714285714285,0.0571428571428571,0.0,35,142882.60000000003,5.833333333333333
"Более того - топирамат попутно замедляет образование в головном мозге и других активирующих медиаторов, например норадреналина и серотонина.",1.894736842105263,13.0,0.0,4.0,0.0,0.25,0.1,0.1,0.05,20,103572.6,6.833333333333333
"Более того, теперь мы понимаем, что и теория относительности, и вообще все научные теории именно таковы - временные постройки в ожидании в чем-то более совершенной, но такой же временной замены.",2.7777777777777777,30.0,1.0,2.0,1.0,0.1621621621621621,0.027027027027027,0.1621621621621621,0.1081081081081081,35,154004.4,5.5
"Болельщиков не развлекают в отличных ""фанатских зонах"", а держат в накопителях и отстойниках под открытым небом без еды, воды и туалета, как диких зверей.",2.5172413793103448,26.0,0.0,4.0,1.0,0.3,0.0666666666666666,0.1333333333333333,0.0,30,153412.19999999998,5.458333333333333
Больные и раненые из-за отсутствия коек лежали на полу.,1.3636363636363635,7.0,0.0,3.0,0.0,0.4166666666666667,0.0833333333333333,0.0,0.0,10,51958.7,5.222222222222222
Больше мы золота в лыжных дисциплинах не взяли и боролись лишь за полудрагоценные металлы.,2.142857142857143,6.0,0.0,4.0,0.0,0.2,0.1333333333333333,0.1333333333333333,0.0,15,94365.4,5.5
"Больше никто на это не способен, да никто и не обладает в настоящее время соответствующими полномочиями и возможностями.",2.210526315789474,13.0,0.0,4.0,0.0,0.15,0.05,0.15,0.05,20,164547.8,5.722222222222222
"Большинство именно так и думает, хотя возникло это словосочетание в противовес церковному браку и означает как раз таки гражданский брак, зарегистрированный государством.",1.8333333333333333,19.0,2.0,6.0,1.0,0.28,0.16,0.08,0.0,25,110701.0,6.7727272727272725
Большое место в книге занимает анализ финансово-экономических последствий ограбления евреев в оккупированных и зависимых от немцев странах.,2.1578947368421053,14.0,0.0,3.0,0.0,0.4,0.1,0.25,0.0,18,103306.3,7.235294117647059
Большую роль в подготовке и проведении форума сыграли многочисленные международные и национальные научные организации.,1.8571428571428568,6.0,0.0,2.0,0.0,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.0,15,103275.7,7.5
"Боюсь, что и никого другого не спросят тоже.",2.888888888888889,8.0,1.0,2.0,1.0,0.0,0.2,0.1,0.1,10,58481.5,4.625
"Будто бы победу Бобовникова обеспечили не только вбросы на одних участках, но и ""выбросы"" на других, когда результаты по участкам, голосовавшим в основном за Новикова, просто были проигнорированы.",3.4411764705882355,29.0,1.0,5.0,1.0,0.1714285714285714,0.0857142857142857,0.0571428571428571,0.0,35,133897.2,6.035714285714286
Бухгалтеры звонят в редакцию и просят выяснить позицию фискалов.,1.2222222222222223,7.0,0.0,3.0,0.0,0.4,0.3,0.0,0.0,10,67220.6,6.222222222222222
"Бывали даже случаи, когда в половине шестого зимой выстраивали шеренгу новобранцев на плацу и говорили им, что не пустят в казармы того, кто не подпишет контракт.",2.3448275862068964,28.0,1.0,9.0,2.0,0.2666666666666666,0.1666666666666666,0.0333333333333333,0.0666666666666666,30,158783.3,5.269230769230769
"Бывало, и не возвращались на ночь: то бомбежки, то обстрелы, то просто ноги не идут.",2.3684210526315788,17.0,1.0,2.0,3.0,0.2,0.15,0.0,0.0,20,100677.6,4.666666666666667
"Был морозный солнечный день, и ему все нравилось: обилие лыжников и скрип свежего снега, который еще не успели убрать в Москве.",2.375,23.0,0.0,5.0,0.0,0.16,0.16,0.12,0.04,25,129799.3,5.095238095238095
"Быть наедине и хочется, и страшно.",1.5714285714285714,5.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,8,71702.6,4.833333333333333
В 1966 году он умер в одиночестве и нищете.,0.8888888888888888,4.0,0.0,3.0,0.0,0.3,0.1,0.1,0.0,10,78967.1,3.888888888888889
"В 1990-х годах в экономически развитых странах расходы на рекламу и пиар росли в полтора-два раза быстрее, чем расходы на исследования и разработку новых продуктов, и даже обгоняли рост ВВП.",2.4705882352941178,21.0,1.0,6.0,1.0,0.3142857142857143,0.0857142857142857,0.0571428571428571,0.0,33,204027.6,5.366666666666666
"В 1991-2008 чемпионками мира (с перерывами в 1996-1999 и 2004-2006) были, в основном, китаянки.",2.9166666666666665,18.0,0.0,1.0,0.0,0.16,0.0,0.4,0.0,19,109862.1,5.857142857142857
"В 2002-2003 годах Юрий Щекочихин получал анонимные звонки с угрозами - как в свой адрес, так и в адрес своего сына.",2.083333333333333,16.0,0.0,4.0,1.0,0.24,0.04,0.16,0.04,23,113982.1,4.523809523809524
В 2005 году Уоррену и Маршаллу была присуждена Нобелевская премия по физиологии и медицине.,1.2857142857142858,6.0,0.0,3.0,0.0,0.2666666666666666,0.0666666666666666,0.1333333333333333,0.0,15,77446.5,5.571428571428571
"В 4 часа 45 минут прибывший в Данциг с дружеским визитом и с воодушевлением встреченный местным населением немецкий учебный корабль - устаревший броненосец ""Шлезвиг-Гольштейн"" - открыл огонь по польским укреплениям на Вестерплатте.",1.7222222222222223,13.0,2.0,8.0,0.0,0.2972972972972973,0.081081081081081,0.1351351351351351,0.0,35,111900.4,6.25
"В XXI столетии итальянская и российская общественность, несомненно, заинтересованы друг в друге, хотя при этом существуют коренные различия в их ценностных ориентирах и глубинных культурных кодах.",2.034482758620689,18.0,1.0,5.0,1.0,0.1666666666666666,0.0333333333333333,0.2666666666666666,0.1,30,138004.09999999998,6.576923076923077
"В Австрийской империи свободные крестьяне проживали в той части государства, которая была населена немцами (Верхняя и Нижняя Австрия, Штирия, Каринтия, Тироль) и итальянцами (Ломбардия, Венеция).",2.4411764705882355,28.0,0.0,5.0,0.0,0.1714285714285714,0.0571428571428571,0.1142857142857142,0.0285714285714285,35,102996.1,6.84
"В Америке избранный президент проводит массовые назначения 12 с лишним тысяч человек, они все работают на ту идею, которая декларирована в той или иной партийной программе, и идея пронизывает всю конструкцию.",2.5588235294117645,29.0,0.0,10.0,0.0,0.2285714285714285,0.1428571428571428,0.1142857142857142,0.0285714285714285,35,108303.1,5.741935483870968
"В Барнауле собирают большегрузные МАЗы в 25, 75 и 110 тонн из белорусских запчастей - кто мешает наладить их производство в соседних регионах?",2.875,21.0,0.0,7.0,0.0,0.2,0.12,0.12,0.0,25,105611.2,5.217391304347826
"В Британии нет разделения на следственные изоляторы и места, где отбывают наказание уже приговоренные, максимум - их могут поместить в разные крылья тюрьмы, и то необязательно.",3.103448275862069,26.0,0.0,8.0,0.0,0.2333333333333333,0.1333333333333333,0.1333333333333333,0.0,30,127290.6,5.8076923076923075
"В Голландии не стесняются пропагандировать средства предохранения, и главное, никогда не оставляют забеременевшую женщину в беспомощном положении.",2.1578947368421053,15.0,0.0,4.0,0.0,0.2,0.2,0.1,0.0,20,103720.2,7.647058823529412
"В Европе наркотики и шприцы выдаются только наркоманам, и весь процесс жестко контролируется.",2.142857142857143,8.0,0.0,4.0,0.0,0.2666666666666666,0.1333333333333333,0.0,0.0,15,74393.5,6.230769230769231
"В Зайсанском регионе я обнаружил и собрал большое количество окаменелостей девонского возраста и даже собирался на их основе готовить кандидатскую диссертацию, т. е. лишь случайно не стал палеонтологом.",1.6206896551724137,18.0,0.0,5.0,0.0,0.25,0.15625,0.125,0.0,30,121355.5,6.25
"В Заполярье же который год сотни тысяч ""энтузиастов"", приехавших за ""длинным рублем"" еще до 1991 года, не могут выехать ""на материк некуда и не на что.",2.8181818181818183,21.0,1.0,6.0,0.0,0.2058823529411764,0.088235294117647,0.0588235294117647,0.0588235294117647,34,122537.8,4.846153846153846
"В Испании в 1923 году установил диктатуру генерал Примо Де Ривера, в Польше в 1926-м - Пилсудский, которому сторонники приписывали сверхчеловеческие качества и даже дар предсказания.",2.6785714285714284,22.0,0.0,11.0,0.0,0.2413793103448276,0.0689655172413793,0.1724137931034483,0.0344827586206896,29,131288.5,6.038461538461538
"В Ленинграде погибли от голода его мать и сестра - вся маленькая семья, - и не было для него иного смысла существования, кроме участия в прорыве блокады.",2.413793103448276,26.0,0.0,5.0,0.0,0.3333333333333333,0.0666666666666666,0.0666666666666666,0.0666666666666666,30,131578.7,4.703703703703703
В России бизнес на протяжении многих лет поставлен в экстремальные условия и всем собственникам бизнеса приходится в них работать.,1.947368421052632,11.0,0.0,7.0,0.0,0.3,0.15,0.05,0.05,20,115174.6,5.894736842105263
"В России же традиционная институциональная среда разрушена, а новая не создана, и уже сам этот факт ставит под сомнение возможность передачи в таком обществе как традиционных, так и любых других норм.",2.647058823529412,27.0,0.0,6.0,1.0,0.2,0.0857142857142857,0.1714285714285714,0.0,35,134556.80000000002,5.483870967741935
В Хабаровской государственной академии экономики и права с участием Рагхунатха и членов индийской делегации пройдет конференция о состоянии и перспективах российско-индийских отношений.,1.4583333333333333,10.0,0.0,2.0,0.0,0.4,0.04,0.24,0.0,23,122182.3,7.454545454545454
"В Якутии бабушку раздражал плач семимесячной внучки, и она ее сожгла в печи.",1.8571428571428568,10.0,0.0,6.0,0.0,0.2666666666666666,0.1333333333333333,0.0666666666666666,0.0666666666666666,15,73999.8,4.923076923076923
В данном случае намерения оппозиции и Запада в определенной степени совпадают с намерениями Путина.,1.4285714285714286,7.0,0.0,4.0,0.0,0.3333333333333333,0.0666666666666666,0.1333333333333333,0.0,15,78487.9,6.142857142857143
"В декабре 1968 года я повесил на учебных корпусах, на Большой Пироговке и Погодинке, объявления: ""Приглашаются студенты, желающие заниматься в секции космической медицины"".",2.103448275862069,23.0,1.0,5.0,0.0,0.2333333333333333,0.1333333333333333,0.1333333333333333,0.0,30,111835.8,6.521739130434782
"В его маленькой двухкомнатной квартирке было неприбрано, видно было, что у него не хватает времени для уборки, и на газовой плите в кухне стояли невымытые кастрюльки.",2.4482758620689653,22.0,1.0,5.0,1.0,0.2,0.1,0.1333333333333333,0.0333333333333333,30,115193.2,5.423076923076923
"В заключении Рогозин констатировал, что ""участие в разрешении палестино-израильского конфликта как коспонсоров мирного процесса - России и США, так и Евросоюза будет определяться политическими фигурами, а не дипломатическими.",4.529411764705882,30.0,1.0,4.0,2.0,0.2285714285714285,0.0571428571428571,0.1714285714285714,0.0,33,125276.9,7.071428571428571
"В защиту Марко Поло можно сказать, что описание им велось по памяти, он был знаком с персидским и использовал персидские названия, которые часто также были непоследовательны в своей передаче китайских названий.",2.3529411764705883,29.0,1.0,10.0,1.0,0.1714285714285714,0.0857142857142857,0.1428571428571428,0.0285714285714285,35,103720.5,5.806451612903226
В идеале эти два компонента должны быть полностью согласованы друг с другом по типам помещаемой в них информации и по формальным языкам ее записи.,1.9166666666666667,18.0,1.0,4.0,0.0,0.28,0.04,0.08,0.12,25,105733.8,5.125
"В итоге с каждым днем в России плодятся ""академики"", не имеющие не только ученой степени и высшего образования, но и элементарных познаний в профильных областях.",1.9310344827586208,21.0,1.0,5.0,0.0,0.2333333333333333,0.0666666666666666,0.1333333333333333,0.0,30,184113.10000000003,5.48
"В компании RJH Public Relations было, в свою очередь, объявлено, что графиня Уэссекская сложит с себя полномочия председателя и ее доля в компании будет снижена до доли владельцев небольших пакетов акций.",2.088235294117647,22.0,1.0,6.0,1.0,0.3142857142857143,0.0857142857142857,0.0285714285714285,0.0285714285714285,35,117518.3,5.612903225806452
"В лагерях, расположенных в районе Воропоново и Гумрака, из 3500 военнопленных остались в живых только 20 человек.",1.5789473684210529,11.0,1.0,5.0,0.0,0.2,0.05,0.1,0.0,20,107979.0,5.705882352941177
"В минувшую среду Государственная дума проголосовала в третьем, окончательном чтении за закон ""Об основах федеральной жилищной политики"", поставив точку в бурных дебатах о стопроцентной оплате жилья и коммунальных услуг населением.",2.3529411764705883,28.0,1.0,5.0,0.0,0.3428571428571428,0.0571428571428571,0.2571428571428571,0.0,35,106380.30000000002,6.7
"В молодости он участвовал в Крымской войне, в которой выказал себя отличным специалистом и солдатом - за что был награжден и получил повышение.",1.875,20.0,0.0,7.0,0.0,0.24,0.16,0.08,0.12,25,156217.40000000002,5.260869565217392
"В настоящий момент живу в общежитии ЛШЭ в десяти минутах ходьбы от кампуса, что не может не радовать.",2.0,15.0,1.0,3.0,0.0,0.25,0.15,0.05,0.0,20,107208.8,4.666666666666667
"В начале войны Финляндия не позволяла немецким войскам нанести сухопутный удар со своей территории, и немецкие части в районе Петсамо и Салла были вынуждены воздержаться от перехода границы.",2.206896551724138,23.0,0.0,6.0,0.0,0.3,0.1,0.1333333333333333,0.0,30,126049.2,5.821428571428571
"В начале моего второго курса в МИЭФ в очередной раз приехала делегация из ЛШЭ, чтобы рассказать студентам о разных аспектах поступления в магистратуру.",1.5833333333333333,13.0,1.0,5.0,1.0,0.32,0.08,0.12,0.0,25,104841.0,5.608695652173913
"В нашей стране многие уверены в том, что Соединенные Штаты и Запад в целом - вековечные ненавистники России.",3.0,14.0,1.0,4.0,1.0,0.2,0.0,0.2,0.05,20,102522.2,5.055555555555555
"В новой школе, как в реальном технопарке, детям интересно и удобно вместе учиться, открывать новое и делать это новое доступным другим.",1.75,13.0,1.0,7.0,1.0,0.12,0.12,0.32,0.0,25,110175.80000000005,5.476190476190476
"В нынешней ситуации и авторы концепции, и независимые аналитики сходятся в том, что ЖКХ может приносить прибыль.",1.5263157894736843,8.0,1.0,5.0,1.0,0.25,0.15,0.1,0.05,20,107223.9,5.647058823529412
"В нынешнем году в вузы поступала и какая-то часть выпускников прошлых лет, у нас в ГУ ВШЭ они составили примерно 12 процентов абитуриентов.",2.423076923076923,20.0,0.0,7.0,0.0,0.2592592592592592,0.074074074074074,0.074074074074074,0.037037037037037,25,108409.2,5.086956521739131
В одной из своих работ известный российский экономист Е. Гайдар выявил любопытную закономерность: примерно в течение полутора веков между Россией и странами - лидерами Европы упорно сохраняется дистанция в 40-60 лет.,2.7058823529411766,23.0,0.0,5.0,0.0,0.2857142857142857,0.0571428571428571,0.0857142857142857,0.0,33,104782.0,6.0
"В первой главе, например, шла речь о том, что антисемитизм в Средние века был характерен и для англичан, и для французов, и для испанцев.",2.4482758620689653,22.0,1.0,5.0,1.0,0.2333333333333333,0.0333333333333333,0.1,0.0333333333333333,30,156406.2,4.75
"В перспективе - слияние гламурного и пиратского бизнесов в единую потоковую структуру, в которую они будут входить как звенья единой цепи создания стоимости.",2.0,22.0,0.0,5.0,1.0,0.36,0.04,0.2,0.04,25,103582.5,5.869565217391305
В политико-военных и военно-стратегических прогнозах и планах США учитывают нередко в совокупности наши два государства.,1.7894736842105263,6.0,0.0,3.0,0.0,0.2,0.05,0.3,0.0,16,104499.1,7.066666666666666
"В последние годы произошло ужесточение этого законодательства, в том числе в связи с будущим вступлением России в ВТО.",2.3684210526315788,15.0,0.0,2.0,0.0,0.3,0.05,0.1,0.0,20,105531.4,5.611111111111111
