sentence,avg_judgement,language,total_lemma_freq,num_tokens,avg_token_length
"Amcast Industrial Corp. said it plans to repurchase 500,000 shares, or about 7 % of its shares outstanding, in open market transactions.",2.6,English,63.01706199655638,22,5.2272727272727275
GDP is the total value of a nation's output of goods and services.,1.55,English,52.25572804161976,13,4.153846153846154
"Town & Country Ford in Charlotte, N.C., still needs to move about 850 1989 cars and trucks.",1.95,English,41.77931901978085,17,4.411764705882353
"A couple in Rockford, Ill., raised $ 12,591 earlier this year using the name and logo of Mothers Against Drunk Driving, without permission from the group.",2.9,English,75.97673460111707,26,4.961538461538462
Yesterday the company said it had filed a request with the Securities and Exchange Commission to withdraw the registration statement regarding the proposed swap.,3.3,English,89.01368348586259,24,5.75
"Instead, many small and medium-sized banks, and some larger ones, are likely to take one of the other two options open to them under the plan, Japanese banking officials said.",3.55,English,121.72252490708121,30,4.866666666666666
"Most of Kidder's program trading is for its own account, according to the New York Stock Exchange.",2.05,English,50.042443091609805,17,4.823529411764706
"One of the commission's recommendations was that a single agency, probably the Federal Reserve, should coordinate regulation of all financial markets.",3.35,English,75.96945121727677,21,6.190476190476191
"Ellen Cokely, a tourist from Alton, Ill., seems inclined to agree.",1.85,English,29.154873305134817,11,5.090909090909091
"Under the Racketeer Influenced and Corrupt Organizations law, or RICO, the government has the authority to seek to freeze or seize a defendant's assets before trial.",3.1,English,89.43968932141094,26,5.384615384615385
"Among the insider sales, Charles Raikes, the firm's general counsel, sold 12,281 shares in August, representing 46 % of his holdings in the company.",3.4,English,69.0767823927998,24,5.208333333333333
"Some of the projects being funded by the new issues are the first fruits of Mr. Gandhi's policy, and they require more capital than the smaller industrial units built in the past.",3.25,English,125.77146548371438,32,4.625
"If the Legislature doesn't repeal the law, due for revision in 1990, Mr. Jones says Humana may move its insurance operations, including 3,000 jobs in Louisville, to another state.",3.9,English,86.8745456802057,29,5.206896551724138
Southwestern Bell Corp. and Cincinnati Bell posted slight declines.,1.65,English,12.262260625323854,9,6.555555555555555
"Hani Zayadi was appointed president and chief executive officer of this financially troubled department store chain, effective Nov. 15, succeeding Frank Robertson, who is retiring early.",3.9,English,74.70065550883169,26,6.1923076923076925
"Revenue rose 25 %, to $ 877.6 million, from $ 702.4 million.",2.5,English,22.089528786791096,12,4.083333333333333
"Investors, money managers and corporate officials had until today to comment on the proposals, and the issue has produced more mail than almost any other issue in memory, Mr. Lane said.",3.25,English,119.14626274730753,31,5.0
"But so far, the effort has failed, and traffic is still slow.",1.45,English,49.33988888860327,12,4.166666666666667
"Apple Computer, which reported lackluster earnings Friday, lost 1 1/4 to 46 3/4 on 1.1 million shares.",3.55,English,31.868145860739283,17,5.0588235294117645
"We did experience some difficulties with the initial LBO terms and, as your article made clear, successfully restructured our debt earlier this year, something those other retailers have yet to accomplish.",3.2,English,118.42479546255147,31,5.645161290322581
The offer consists of $ 410.5 million in cash and the rest in notes.,2.1,English,49.088329782400145,14,3.9285714285714284
"The transaction has had a series of setbacks since the financing problems became known last Friday, with no signs or statements from the buy-out group to indicate that any progress has taken place.",3.25,English,127.28765546355041,33,5.0
Source: Fulton Prebon (U.S.A.) Inc.,2.25,English,0.0,5,6.2
The shares are redeemable after the end of 1994.,1.5,English,29.3362025621802,9,4.444444444444445
Friday brings the final count on October auto sales.,1.65,English,27.45095089160119,9,4.888888888888889
The scope of the improvement in the U.S. business caught some analysts by surprise.,1.8,English,51.66564634862589,14,5.0
"The record price for a full membership on the exchange is $ 550,000, set Aug. 31, 1987.",2.7,English,49.26374019044059,17,4.176470588235294
"Out of the $ 2 charge, the law firm pockets about $ 1.55.",1.85,English,36.8768996450641,13,3.4615384615384617
Pay raises of 60 % over the past three years have given many South Koreans the money to enjoy the things they were supplying the rest of the world.,3.15,English,114.4324692420575,29,4.103448275862069
"The No. 1 domestic aluminum producer, Aluminum Co. of America, Friday said its earnings fell 3.2 % to $ 219 million, or $ 2.46 a share.",3.65,English,51.50062476664549,26,4.230769230769231
"The results surpassed analysts' forecasts, which averaged around# 200 million, and Marks & Spencer responded in trading on London's Stock Exchange with an eight pence rise to 188 pence.",3.2,English,69.58791140581947,29,5.413793103448276
"The TVA, which operates one of the nation's largest electric power systems, is a corporation wholly owned by the U.S. government.",3.05,English,72.33379836509206,21,5.190476190476191
