INPUT:text	INPUT:text1	INPUT:text2	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
Мог иметься в виду и слесарь , и столяр .			[1]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6991d35f828b7ff82c4	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6991d35f828b7ff82c4	a6c40188c393d304cfb1f04c71627daa	APPROVED	2023-02-11T15:39:05.095
Она уложила сено в ванночку и залила его кипятком .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b69ebf19e327ec3ba785	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b69ebf19e327ec3ba785	ae71dad8da578d7971bc8eaec42fbb56	APPROVED	2023-02-11T15:39:10.215
Она уложила сено в ванночку и залила его кипятком .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6a331137e5dec1c96cf	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6a331137e5dec1c96cf	cb11b48e08973ea783e7edbe9f5bacc3	APPROVED	2023-02-11T15:39:15.628
Быть наедине и хочется , и _ _ страшно .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6a531137e5dec1c971e	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6a531137e5dec1c971e	420982db70b405e2bcdc1dc117ee6dfc	APPROVED	2023-02-11T15:39:17.338
Мог иметься в виду и слесарь , и столяр .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6a6cf02855709a0f9b9	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6a6cf02855709a0f9b9	c828f82e8b0a9fb112dec057b999bc97	APPROVED	2023-02-11T15:39:18.241
Бесконечные стычки и распри , дележ и взаимные наговоры .			[1]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6a903b5dd74ad8f703f	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6a903b5dd74ad8f703f	a6c40188c393d304cfb1f04c71627daa	APPROVED	2023-02-11T15:39:21.118
Она уложила сено в ванночку и залила его кипятком .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6ab800a232967d17de6	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6ab800a232967d17de6	fb1935cf8524dfdfc101ff47bbfb915d	APPROVED	2023-02-11T15:39:23.979
Тут Дума и президент спохватились и вспомнили о светскости .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6abe0e9031110acc409	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6abe0e9031110acc409	50a185e7e0e759f07be45a9ffafae074	APPROVED	2023-02-11T15:39:23.765
Мог иметься в виду и слесарь , и столяр .			[1]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6ad31137e5dec1c982f	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6ad31137e5dec1c982f	0c2627b94e0a236ea959448faa25f410	APPROVED	2023-02-11T15:39:25.788
Бесконечные стычки и распри , дележ и взаимные наговоры .			[5]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6ae17ea1a2f47458ea4	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6ae17ea1a2f47458ea4	a48bcd2f9b1dfc30969b76398b014550	APPROVED	2023-02-11T15:39:26.423
Быть наедине и хочется , и _ _ страшно .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6ae31137e5dec1c983f	00023f0ffa--63e7ad1103b5dd74ad8e5ade	00023f0ffa--63e7b6ae31137e5dec1c983f	730dca83dd752ef3a34fc5d68d34c342	APPROVED	2023-02-11T15:39:26.468
Она уложила сено в ванночку и залила его кипятком .			[1]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6ae8fb2e27ee93cb203	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6ae8fb2e27ee93cb203	3c92b7a0e2ff16793de07aef96e53d75	APPROVED	2023-02-11T15:39:26.181
Тут Дума и президент спохватились и вспомнили о светскости .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6af006a84029c3dce85	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6af006a84029c3dce85	fea0bc3b963ff0359b80665363ee7734	APPROVED	2023-02-11T15:39:27.476
Мог иметься в виду и слесарь , и столяр .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6af2b041c6b27aa765c	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6af2b041c6b27aa765c	f2c4b19c44b4c7b3eb1be0c85ad49dc6	APPROVED	2023-02-11T15:39:27.368
Бесконечные стычки и распри , дележ и взаимные наговоры .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b003b5dd74ad8f7160	00023f0ffa--63e7ad1103b5dd74ad8e5aed	00023f0ffa--63e7b6b003b5dd74ad8f7160	2de29bdbc2290c68c4091b56ce3c624c	APPROVED	2023-02-11T15:39:28.465
Она уложила сено в ванночку и залила его кипятком .			[3]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b031137e5dec1c9875	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6b031137e5dec1c9875	2aed096bfaa5341c90ede8b38edce529	APPROVED	2023-02-11T15:39:28.009
Тут Дума и президент спохватились и вспомнили о светскости .			[6]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b05aa2d3277b318f0b	00023f0ffa--63e7ad0c03b5dd74ad8e5a1e	00023f0ffa--63e7b6b05aa2d3277b318f0b	7970c2dd76e091324c93c50f799ff30f	APPROVED	2023-02-11T15:39:28.643
Мог иметься в виду и слесарь , и столяр .			[4]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b103b5dd74ad8f718c	00023f0ffa--63e7ad0503b5dd74ad8e590a	00023f0ffa--63e7b6b103b5dd74ad8f718c	f08d4b7de10493aac3e29c92de3ccd2b	APPROVED	2023-02-11T15:39:29.708
Она уложила сено в ванночку и залила его кипятком .			[2]				https://toloka.yandex.ru/task/37687290/00023f0ffa--63e7b6b25e82947f3f4698db	00023f0ffa--63e7ad1403b5dd74ad8e5b91	00023f0ffa--63e7b6b25e82947f3f4698db	a6c40188c393d304cfb1f04c71627daa	APPROVED	2023-02-11T15:39:30.055
