INPUT:text	OUTPUT:category	CONFIDENCE:category	
Мог иметься в виду и слесарь , и столяр .	[1]	99.99%	
Она уложила сено в ванночку и залила его кипятком .	[6]	99.99%	
Быть наедине и хочется , и _ _ страшно .	[2]	100.00%	
Бесконечные стычки и распри , дележ и взаимные наговоры .	[1]	100.00%	
Тут Дума и президент спохватились и вспомнили о светскости .	[4]	99.99%	
Размышление и самообучение в круг ее задач не входили .	[1]	66.41%	
Руководящую роль в политике и экономике играли родовые кланы .	[7]	99.99%	
Потому что хорошее должно быть и в виде приятного .	[6]	100.00%	
Сейчас единства в этом вопросе в России не существует .	[7]	100.00%	
Китай тому пример , да и не только он .	[4]	100.00%	
Они были подвижны и катились всегда в одну сторону .	[3]	54.66%	
Итальянская полиция и карабинеры приведены в состояние повышенной готовности .	[3]	54.66%	
Не красть туалетную бумагу в учреждениях и междугородных поездах .	[3]	99.99%	
Сотрудница туалета закатила глаза и заговорила тихо и быстро .	[3]	100.00%	
Я не верю в кровавый террор сверху в России .	[5]	100.00%	
Не отрицают они и возможности участия в муниципальных выборах .	[3]	100.00%	
Не использовать Цилиндры в состоянии алкогольного и наркотического опьянения .	[4]	100.00%	
Национальная безопасность и революция в организации ТВ - вещания .	[6]	100.00%	
Каждый человек рождается и умирает в своем энергетическом поле .	[7]	100.00%	
Наш фонд ведет просветительскую работу и в этом направлении .	[4]	100.00%	
Английские войска вторгаются в Ирак и свергают правительство Али-Гайлани .	[2]	99.99%	
Три дня и три ночи Гарусов прожил в изоляторе .	[1]	100.00%	
Эта тема в другой связи обсуждается и несколько ниже .	[6]	99.99%	
Этим баннером они и выразили свое отношение и озабоченность .	[1]	100.00%	
Сегодня в России роль и значение СМИ часто преувеличивают .	[3]	99.99%	
Поставил стакан перед собой и продолжал рассказывать и расспрашивать .	[5]	100.00%	
Глеб купил свежую рыбу и держал ее в руках .	[1]	99.99%	
Мать ест и поправляется , и начинается новая жизнь .	[6]	100.00%	
Остальное - в основном всякая сборочная и ремонтная мелочь .	[5]	54.96%	
Ведь мертвые и похищенные не в состоянии себя защитить .	[4]	100.00%	
Они и потерь меньше несут , и воюют лучше .	[3]	54.66%	
Бухгалтеры звонят в редакцию и просят выяснить позицию фискалов .	[5]	100.00%	
Мне дали третью группу инвалидности и выпустили в жизнь .	[2]	100.00%	
Суд должен быть в подчинении закона и гаранта Конституции .	[5]	100.00%	
Я не верю в кровавую революцию снизу в России .	[3]	54.66%	
Он был в номере и услышал где-то недалеко выстрелы .	[2]	100.00%	
