text,confidence,category
"Разглядывая их под микроскопом , мы увидим привычные нам шестеренки и валы , цилиндры и поршни , пружины и клапаны , зеркала и микросхемы .",100.00%,4
"Иногда талантливые люди , не найдя себя в науке и не в силах выдержать экономический стресс , уходят из археологии в бизнес и промышленность .",100.00%,4
"Кандидаты в депутаты от общественных организаций в свою очередь также должны иметь в своей программе как общие , так и специфические направления депутатской деятельности .",100.00%,6
"Главное , чтобы "" социальные лифты "" не останавливались и чтобы шанс в них пробиться был не только у тех , кто умудрился родиться в "" нужной "" семье .",100.00%,6
Франция признает российских студентов и не признает российские дипломы .,100.00%,2
Об этом сообщили в понедельник в пресс-службе администрации области .,100.00%,1
С тех пор я в этом кабинете не появлялся .,100.00%,1
Этот роман как раз и должен родиться на стыке .,100.00%,1
Деревянный стол и две простые деревянные лавки в углу .,100.00%,1
"Поэтому православной интеллигенции не может быть в природе "" …",100.00%,2
"Я позову ее кататься на лодке и утоплю "" .",100.00%,1
"Он хранил у себя дома потрясающую коллекцию репродукций , которую собирал не только в московских библиотеках , вырезая их из редких книг , но и в домах своих друзей .",100.00%,5
"Маски являлись необходимостью во многих сферах жизни - на праздниках и священных обрядах , во время войны и охоты и даже в судебных процессиях .",100.00%,4
В реальности учитель использует все эти роли в разных ситуациях и в разной мере .,100.00%,3
"Это где-то между наукой и искусством , и описать эту грань методологически очень сложно .",100.00%,4
"В таких условиях и здоровому человеку было выжить непросто , а больные и раненые люди умирали десятками в день .",100.00%,3
При этом в дипломе все оценки не обязательно должны быть отличными и даже хорошими .,100.00%,2
"Поэтому в последнее время в мире было создано новое поколение моделей общей циркуляции атмосферы и океана , в большей степени учитывающих океанические процессы "" .",100.00%,6
"Осуждали меня и Николай Иванович , и Мери Михайловна .",100.00%,1
"Горячее прессование освоили еще в прошлом веке , и этот способ обработки металлов потеснил традиционные - ковку и штамповку .",100.00%,4
"Из этого путем неоправданной экстраполяции мы сделали вывод , что в принципе можем понять все и будем проникать в тайны мироздания до бесконечности , по крайней мере до тех пор , пока существуем сами .",100.00%,7
"Дело в том , что в тот давний день , когда мы возделывали пустырь , один из ребят обратил внимание остальных на то , как я держу носилки , на которых мы перетаскивали землю .",100.00%,5
"Хаос в экономике , которым воспользовались самые жадные и беспринципные , превратившие чуть ли не всех остальных в бедных .",100.00%,4
Ниже нас по фронту были траншеи и ходы сообщения стрелковых подразделений и огневые точки с пулеметами и противотанковыми ружьями .,100.00%,5
"Местные художники , вывезенные в метрополию , и там обученные уже как чисто западные живописцы , графики и скульпторы .",100.00%,5
"Мы кое-что понимаем теперь и в Русском мире - настоящем , а не вымышленном .",100.00%,2
"Когда она наконец пришла и он увидал близко ее лицо и фигуру , он просто сказал : - Ну-ну !",100.00%,7
Меня гортанно и резко окликнули и приказали покинуть сад .,100.00%,2
"В последние годы произошло ужесточение этого законодательства , в том числе в связи с будущим вступлением России в ВТО .",100.00%,4
Затем абитуриент отключает на своем мобильнике звук и вибрацию и бесстрашно оставляет его на столе преподавателя или даже за дверью аудитории - как потребуют .,100.00%,5
Потом Татьяна провалилась в сон и очнулась уже засветло .,100.00%,2
"Это вопросы не к ЕГЭ как таковому , а к качеству преподавания истории и литературы в российских школах вообще .",100.00%,3
"Потом два года службы в ракетных войсках стратегического назначения , работа на гражданке и счастливый брак длиною в 20 лет , в котором у мужчины родились мальчик и девочка .",100.00%,6
"В его маленькой двухкомнатной квартирке было неприбрано , видно было , что у него не хватает времени для уборки , и на газовой плите в кухне стояли невымытые кастрюльки .",100.00%,6
"И исполнительную власть , и _ законодательную , и бизнес , и судебную власть .",100.00%,4
"Генерал-майор Сергеев убедительно попросил автолюбителей "" не вклиниваться в колонны "" и дать военным возможность беспрепятственно выбраться с баз и потом вернуться на них .",100.00%,7
Эта тема в другой связи обсуждается и несколько ниже .,100.00%,3
Они шли с увала на увал и видели иногда сверху деревни с белыми крышами .,100.00%,3
"Так у них , у обличителей и у наблюдателей , создается иллюзия того , что они и в самом деле служат чему-то более высокому .",100.00%,6
"Сознание , которое тысячелетиями живет само по себе , без подкормки и подпитки , не стирается и не ржавеет - это же вечный двигатель .",99.99%,5
